holdout_gene,mode,esm_model,n_unfrozen_layers,use_pllr,branch,fusion,pllr_mode,cell_slug,n_prior_features,seed,batch_size,grad_accum,effective_batch,amp,n_finetune,n_inner_val,n_holdout,best_epoch,inner_val_roc_auc,runtime_s,threshold,roc_auc,roc_auc_ci_low,roc_auc_ci_high,pr_auc,pr_auc_ci_low,pr_auc_ci_high,mcc,mcc_ci_low,mcc_ci_high,checkpoint
MSH6,siamese,facebook/esm2_t33_650M_UR50D,0,True,esm+priors,concat,residual,ablate_structure_seed42,25,42,1,8,8,True,450,114,119,6,0.9783359497645212,165.1,0.0245006899437966,0.9584511023176936,0.9200113058224986,0.9864330130016958,0.9595460295785686,0.9211202031971966,0.987539677634864,0.7650568195559944,0.6585592574139502,0.8580249976263653,data\processed\stage2b_grid\esm_finetune_siamese_holdout_MSH6.pt
PMS2,siamese,facebook/esm2_t33_650M_UR50D,0,True,esm+priors,concat,residual,ablate_structure_seed42,25,42,1,8,8,True,530,132,21,5,0.9550925925925926,161.4,0.0015001397135021,0.9705882352941176,0.8676470588235294,1.0,0.9932718185313342,0.973529411764706,1.0,0.6688560540599386,0.0,1.0,data\processed\stage2b_grid\esm_finetune_siamese_holdout_PMS2.pt
MLH1,siamese,facebook/esm2_t33_650M_UR50D,0,True,esm+priors,concat,residual,ablate_structure_seed43,25,43,1,8,8,True,380,95,208,3,0.8858939802336029,164.4,0.0365235951752702,0.9288762446657184,0.8854077761972499,0.9633317528054368,0.9835906218113176,0.973316199194959,0.9917822209855558,0.6317905873649664,0.4963637458161255,0.7559696019380002,data\processed\stage2b_grid\esm_finetune_siamese_holdout_MLH1.pt
MSH2,siamese,facebook/esm2_t33_650M_UR50D,0,True,esm+priors,concat,residual,ablate_structure_seed43,25,43,1,8,8,True,277,71,335,2,0.9542857142857144,165.6,0.7837934873962076,0.9006831514071433,0.8645578079750501,0.9336925447389915,0.8753758939168862,0.8305235537170261,0.9174236969407148,0.6167723795021701,0.5388385053921374,0.6953288019758298,data\processed\stage2b_grid\esm_finetune_siamese_holdout_MSH2.pt
MSH6,siamese,facebook/esm2_t33_650M_UR50D,0,True,esm+priors,concat,residual,ablate_structure_seed43,25,43,1,8,8,True,450,114,119,6,0.9714285714285712,164.4,0.986992483228096,0.9259468626342566,0.8773247597512718,0.9643866591294518,0.9322252797383742,0.889499167979006,0.9671384255689092,0.6663647377938653,0.5566926207832344,0.7713977226184817,data\processed\stage2b_grid\esm_finetune_siamese_holdout_MSH6.pt
PMS2,siamese,facebook/esm2_t33_650M_UR50D,0,True,esm+priors,concat,residual,ablate_structure_seed43,25,43,1,8,8,True,529,133,21,3,0.9662100456621004,162.5,0.9969928730794853,0.9411764705882352,0.8235294117647058,1.0,0.9877162629757786,0.962464985994398,1.0,0.7669649888473705,0.560112033611204,1.0,data\processed\stage2b_grid\esm_finetune_siamese_holdout_PMS2.pt
MLH1,siamese,facebook/esm2_t33_650M_UR50D,0,True,esm+priors,concat,residual,ablate_structure_seed44,25,44,1,8,8,True,380,95,208,4,0.9456424079065588,164.9,0.9839759189220132,0.9320373004583532,0.883357041251778,0.9694997629208156,0.9827440632447122,0.9674891903654372,0.9934210184210758,0.2788935280163784,0.2374625146462701,0.3241852456808085,data\processed\stage2b_grid\esm_finetune_siamese_holdout_MLH1.pt
MSH2,siamese,facebook/esm2_t33_650M_UR50D,0,True,esm+priors,concat,residual,ablate_structure_seed44,25,44,1,8,8,True,277,71,335,4,0.9952380952380953,168.2,0.0085010098199671,0.9086470631915052,0.8738388282468256,0.9405031744263757,0.8658995344594409,0.811293044476215,0.9174707955150578,0.4301386006357958,0.3598801067948592,0.4963671324579367,data\processed\stage2b_grid\esm_finetune_siamese_holdout_MSH2.pt
MSH6,siamese,facebook/esm2_t33_650M_UR50D,0,True,esm+priors,concat,residual,ablate_structure_seed44,25,44,1,8,8,True,450,114,119,8,0.9381475667189952,165.1,0.9334982297602888,0.9465799886941776,0.907574901074053,0.9765404183154324,0.9475721327989036,0.9113406799956256,0.9767890447998864,0.6802244338443691,0.570377808566528,0.7855007920128876,data\processed\stage2b_grid\esm_finetune_siamese_holdout_MSH6.pt
PMS2,siamese,facebook/esm2_t33_650M_UR50D,0,True,esm+priors,concat,residual,ablate_structure_seed44,25,44,1,8,8,True,530,132,21,4,0.9550925925925926,164.1,0.9209961941326916,0.9705882352941176,0.8823529411764706,1.0,0.9932718185313342,0.9737752686213804,1.0,0.6911764705882353,0.2557390794935059,1.0,data\processed\stage2b_grid\esm_finetune_siamese_holdout_PMS2.pt
MLH1,siamese,facebook/esm2_t33_650M_UR50D,0,True,esm,concat,concat,esm_frozen_pllr-concat_seed42,0,42,1,8,8,True,362,92,208,3,0.9666182873730044,153.8,0.9743615647067344,0.9010589536905328,0.8522976924292713,0.9431009957325746,0.9776069555682728,0.965930764030107,0.9874167853125224,0.4793258873493208,0.3761970695901703,0.5766086500406222,
MSH2,siamese,facebook/esm2_t33_650M_UR50D,0,True,esm,concat,concat,esm_frozen_pllr-concat_seed42,0,42,1,8,8,True,262,65,335,1,0.931350114416476,153.8,0.996458554756362,0.8584317219870795,0.8139331328432465,0.8987534343209327,0.7815313995839511,0.7191526705283158,0.8450294903784098,0.6068479886800855,0.5184015064828466,0.6937063637475773,
MSH6,siamese,facebook/esm2_t33_650M_UR50D,0,True,esm,concat,concat,esm_frozen_pllr-concat_seed42,0,42,1,8,8,True,435,108,119,3,0.9414021625392396,148.4,0.4445335451130813,0.8831260599208591,0.8198099208592424,0.937114895421142,0.8977332632765553,0.8431618362234554,0.9444047803881616,0.5741757431821639,0.4463398894049918,0.6941489720516704,
MLH1,siamese,facebook/esm2_t33_650M_UR50D,0,False,esm,concat,off,esm_frozen_pllr-off_seed42,0,42,1,8,8,True,362,92,208,3,0.9641993226898888,155.1,0.9843811449178028,0.90263948158685,0.8530879563774301,0.9450766556029712,0.977696736761392,0.9658043284739174,0.9876974990410204,0.4765439377888897,0.3691571866432837,0.5806901306547568,
MSH2,siamese,facebook/esm2_t33_650M_UR50D,0,False,esm,concat,off,esm_frozen_pllr-off_seed42,0,42,1,8,8,True,262,65,335,1,0.9302059496567506,152.5,0.9966106947232038,0.8559812875918913,0.8117801848964135,0.8964505829063637,0.7906386336347716,0.7310293052485494,0.8491411203479945,0.5321452039095992,0.4393200375044474,0.6225582239913272,
MSH6,siamese,facebook/esm2_t33_650M_UR50D,0,False,esm,concat,off,esm_frozen_pllr-off_seed42,0,42,1,8,8,True,435,108,119,3,0.9455877223578651,151.6,0.4025105885400625,0.8838326738270208,0.8199547767100057,0.9371113623516112,0.8961699755661766,0.8408671994696417,0.9433826717629282,0.5461315769035077,0.4168189704520098,0.6619806574248206,
